Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.41     0.00    27320     0.00     0.00  void __gnu_cxx::new_allocator<ape::Sprite*>::construct<ape::Sprite*, ape::Sprite* const&>(ape::Sprite**, ape::Sprite* const&)
  0.00      1.41     0.00    27320     0.00     0.00  void std::allocator_traits<std::allocator<ape::Sprite*> >::construct<ape::Sprite*, ape::Sprite* const&>(std::allocator<ape::Sprite*>&, ape::Sprite**, ape::Sprite* const&)
  0.00      1.41     0.00    27320     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::push_back(ape::Sprite* const&)
  0.00      1.41     0.00    21856     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_S_left(std::_Rb_tree_node_base*)
  0.00      1.41     0.00    19124     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_end()
  0.00      1.41     0.00    19124     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_S_key(std::_Rb_tree_node<unsigned int> const*)
  0.00      1.41     0.00    19124     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_S_value(std::_Rb_tree_node<unsigned int> const*)
  0.00      1.41     0.00    19124     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      1.41     0.00    17759     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_begin()
  0.00      1.41     0.00    16392     0.00     0.00  ape::Material::getTextureID()
  0.00      1.41     0.00    16392     0.00     0.00  std::_Rb_tree_iterator<unsigned int>::operator==(std::_Rb_tree_iterator<unsigned int> const&) const
  0.00      1.41     0.00    16392     0.00     0.00  std::_Rb_tree_const_iterator<unsigned int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<unsigned int> const&)
  0.00      1.41     0.00    16392     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::end()
  0.00      1.41     0.00    15026     0.00     0.00  ape::Sprite::getMaterial()
  0.00      1.41     0.00    15026     0.00     0.00  ape::Material::getRenderer()
  0.00      1.41     0.00    15026     0.00     0.00  bool __gnu_cxx::operator!=<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > >(__gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > > const&, __gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > > const&)
  0.00      1.41     0.00    13660     0.00     0.00  ape::Graphics::draw(ape::Sprite*)
  0.00      1.41     0.00    13660     0.00     0.00  ape::Renderer::draw(ape::Sprite*)
  0.00      1.41     0.00    13660     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > >::operator++()
  0.00      1.41     0.00    13660     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > >::operator*() const
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree_const_iterator<unsigned int>::operator==(std::_Rb_tree_const_iterator<unsigned int> const&) const
  0.00      1.41     0.00    13660     0.00     0.00  std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int> >::end() const
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::end() const
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree_const_iterator<unsigned int>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  0.00      1.41     0.00    13660     0.00     0.00  std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int> >::find(unsigned int const&)
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_lower_bound(std::_Rb_tree_node<unsigned int>*, std::_Rb_tree_node_base*, unsigned int const&)
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::find(unsigned int const&)
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      1.41     0.00    13660     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_S_value(std::_Rb_tree_node_base const*)
  0.00      1.41     0.00    10928     0.00     0.00  std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_M_get_Node_allocator()
  0.00      1.41     0.00     8199     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > >::__normal_iterator(ape::Sprite** const&)
  0.00      1.41     0.00     6877     0.00     0.00  std::_Vector_base<ape::Sprite*, std::allocator<ape::Sprite*> >::_M_get_Tp_allocator()
  0.00      1.41     0.00     5539     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      1.41     0.00     5488     0.00     0.00  void std::_Destroy_aux<true>::__destroy<ape::Sprite**>(ape::Sprite**, ape::Sprite**)
  0.00      1.41     0.00     5488     0.00     0.00  void std::_Destroy<ape::Sprite**>(ape::Sprite**, ape::Sprite**)
  0.00      1.41     0.00     5488     0.00     0.00  void std::_Destroy<ape::Sprite**, ape::Sprite*>(ape::Sprite**, ape::Sprite**, std::allocator<ape::Sprite*>&)
  0.00      1.41     0.00     5464     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned int>::_M_ptr()
  0.00      1.41     0.00     5464     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned int>::_M_addr()
  0.00      1.41     0.00     5464     0.00     0.00  std::_Rb_tree_node<unsigned int>::_M_valptr()
  0.00      1.41     0.00     4130     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      1.41     0.00     4099     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::end()
  0.00      1.41     0.00     4099     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::begin()
  0.00      1.41     0.00     4098     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      1.41     0.00     4098     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::_M_erase_at_end(ape::Sprite**)
  0.00      1.41     0.00     4098     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::clear()
  0.00      1.41     0.00     2851     0.00     0.00  std::vector<ape::Sprite*, std::allocator<ape::Sprite*> >::size() const
  0.00      1.41     0.00     2749     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      1.41     0.00     2749     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      1.41     0.00     2749     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      1.41     0.00     2734     0.00     0.00  ape::Material::bind()
  0.00      1.41     0.00     2732     0.00     0.00  ape::Renderer::begin()
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::deallocate(std::_Rb_tree_node<unsigned int>*, unsigned long)
  0.00      1.41     0.00     2732     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::destroy<unsigned int>(unsigned int*)
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::allocate(unsigned long, void const*)
  0.00      1.41     0.00     2732     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::construct<unsigned int, unsigned int const&>(unsigned int*, unsigned int const&)
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::__aligned_membuf<unsigned int>::__aligned_membuf()
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite*, std::vector<ape::Sprite, std::allocator<ape::Sprite> > >::__normal_iterator(ape::Sprite* const&)
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::max_size() const
  0.00      1.41     0.00     2732     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      1.41     0.00     2732     0.00     0.00  std::_Rb_tree_node<unsigned int>* std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int> >::_Alloc_node::operator()<unsigned int const&>(unsigned int const&) const
